key,year,title,url
rooein-etal-2026-exploring,2026,Exploring Subjective Tasks in {F}arsi: A Survey Analysis and Evaluation of Language Models,https://aclanthology.org/2026.wassa-1.8/
ollagnier-2026-antisocial,2026,Antisocial Behavior Prediction: A Survey and Practical Guide,https://aclanthology.org/2026.wassa-1.18/
szep-etal-2026-fine,2026,Fine-tuning Large Language Models with Limited Data: A Survey and Practical Guide,https://aclanthology.org/2026.tacl-1.17/
pedinotti-santus-2026-structsurvey,2026,{S}truct{S}urvey: Structured Agentic Retrieval for Automated Survey Paper Generation,https://aclanthology.org/2026.surgellm-1.10/
zevallos-etal-2026-amazonianlp,2026,{A}mazonia{NLP}: A Survey of Extreme Low-Resource Languages in the {P}eruvian-{B}razilian {A}mazon,https://aclanthology.org/2026.sigul-1.28/
plausinaityte-zinsmeister-2026-survey,2026,A Survey of the Digitisation of {G}erman Newspapers in interwar {L}ithuania (1918{--}1940),https://aclanthology.org/2026.pressmint-1.11/
chakraborty-etal-2026-datasets,2026,Datasets and Methods for Improving the Cultural Capabilities of {NLP} Systems: A Survey,https://aclanthology.org/2026.nlpcss-1.14/
alali-etal-2026-llms,2026,{LLM}s in the Enterprise: A Systematic Review of Security Architectures for {RAG}-Augmented Chatbots,https://aclanthology.org/2026.nlpaics-1.25/
libovicky-2026-credibility,2026,On the Credibility of Evaluating {LLM}s using Survey Questions,https://aclanthology.org/2026.mme-main.2/
puspo-etal-2026-mental,2026,Mental Health Disorder Detection beyond Social Media: A Systematic Review of Available Datasets,https://aclanthology.org/2026.lrec-1.494/
dinkar-etal-2026-nlp,2026,Can {NLP} Tackle Hate Speech in the Real World? Stakeholder-Informed Feedback and Survey on Counterspeech,https://aclanthology.org/2026.lrec-1.655/
agro-etal-2026-code,2026,Code-Switching in End-to-End Automatic Speech Recognition: A Systematic Literature Review,https://aclanthology.org/2026.lrec-1.768/
pannitto-etal-2026-survey,2026,Survey of Tools for Manual Linguistic Annotation: Supporting Diversity through Interactive Exploration,https://aclanthology.org/2026.lrec-1.905/
rodrigo-gines-chamorro-padial-2026-media,2026,Media Bias within Information Disorder: Bridging Two Research Communities through a Systematic Review,https://aclanthology.org/2026.indor-1.5/
nourbakhsh-etal-2026-llm,2026,Are {LLM} Benchmarks Already Contaminated? A Systematic Review of Contamination Detection Methods,https://aclanthology.org/2026.gem-main.50/
tatarinov-etal-2026-language,2026,"Language Modeling for the Future of Finance: A Survey into Metrics, Tasks, and Data Opportunities",https://aclanthology.org/2026.gem-main.65/
acarturk-etal-2026-survey,2026,A Survey of Incorporating Gaze Data into Natural Language Processing Models and Applications,https://aclanthology.org/2026.gaze4nlp-1.10/
cho-etal-2026-plane,2026,Plane Geometry Problem Solving with Multi-modal Reasoning: A Survey,https://aclanthology.org/2026.findings-eacl.7/
liu-etal-2026-rethinking,2026,Rethinking Data Mixture for Large Language Models: A Comprehensive Survey and New Perspectives,https://aclanthology.org/2026.findings-eacl.15/
goswami-etal-2026-nlp,2026,{NLP} Privacy Risk Identification in Social Media ({NLP}-{PRISM}): A Survey,https://aclanthology.org/2026.findings-eacl.78/
wischounig-etal-2026-negative,2026,Negative Sampling Techniques in Dense Retrieval: A Survey,https://aclanthology.org/2026.findings-eacl.157/
deng-etal-2026-data,2026,Data-Centric Perspectives on Agentic Retrieval-Augmented Generation: A Survey,https://aclanthology.org/2026.findings-acl.78/
yang-etal-2026-survey,2026,A Survey of Retentive Network,https://aclanthology.org/2026.findings-acl.256/
xu-etal-2026-towards,2026,Towards Modern Topic Models: A Survey of Taxonomies and Paradigm Shifts from Algorithm-Centric to {LLM}-Centered Topic Analysis,https://aclanthology.org/2026.findings-acl.326/
wan-etal-2026-test,2026,Test-Time Scaling in Multimodal Foundation Models: A Comprehensive Survey of Generation and Reasoning,https://aclanthology.org/2026.findings-acl.383/
tong-etal-2026-static,2026,From Static Inference to Dynamic Interaction: A Survey of Streaming Large Language Models,https://aclanthology.org/2026.findings-acl.498/
zhang-etal-2026-locate,2026,"Locate, Steer, and Improve: A Practical Survey of Actionable Mechanistic Interpretability in Large Language Models",https://aclanthology.org/2026.findings-acl.502/
ding-etal-2026-survey,2026,"A Survey on {MLLM}-based Visually Rich Document Understanding: Methods, Challenges, and Emerging Trends",https://aclanthology.org/2026.findings-acl.652/
hu-etal-2026-rethinking,2026,Rethinking Reasoning: A Survey on Reasoning-based Backdoors in {LLM}s,https://aclanthology.org/2026.findings-acl.863/
zhou-etal-2026-attack,2026,From Attack Surfaces to Actual Operations: A Survey of {M}odern {LLM} Jailbreaks,https://aclanthology.org/2026.findings-acl.929/
jayakumar-etal-2026-scripts,2026,Scripts Through Time: A Survey of the Evolving Role of Transliteration in {NLP},https://aclanthology.org/2026.findings-acl.1176/
huang-etal-2026-distorted,2026,Distorted or Fabricated? A Survey on Hallucination in Video {LLM}s,https://aclanthology.org/2026.findings-acl.1325/
yehudai-etal-2026-survey,2026,A Survey on Evaluation of {LLM}-based Agents,https://aclanthology.org/2026.findings-acl.1330/
sarwar-etal-2026-multimodal,2026,"Multimodal Unlearning Across Vision, Language, Video, and Audio: Survey of Methods, Datasets, and Benchmarks",https://aclanthology.org/2026.findings-acl.1379/
zhang-etal-2026-datasets,2026,Datasets for Scientific Literature Understanding: A Survey,https://aclanthology.org/2026.findings-acl.1414/
hou-etal-2026-detecting,2026,Detecting {AI}-Generated Video: A Vision{--}Language Dual-View Survey,https://aclanthology.org/2026.findings-acl.1613/
lan-etal-2026-making,2026,"Making Revisions Understandable: A Survey of Edit Intentions, Methods, and Applications",https://aclanthology.org/2026.findings-acl.1747/
dan-etal-2026-survey,2026,A Survey of Toxicity Mitigation Strategies for Multilingual Language Models,https://aclanthology.org/2026.findings-acl.1780/
liu-zhang-2026-ai,2026,"{AI} Agents for the Science of Science: A Survey of Tasks, Architectures, Evaluations, and Challenges",https://aclanthology.org/2026.findings-acl.1804/
zou-etal-2026-llm,2026,{LLM}-Based Human-Agent Collaboration and Interaction Systems: A Survey,https://aclanthology.org/2026.findings-acl.1811/
li-ouyang-2026-grasp,2026,{GRASP}: Graph-Reasoning Aided Survey Planning for High-Fidelity Related Work Generation,https://aclanthology.org/2026.findings-acl.1815/
xu-etal-2026-survey,2026,A Survey of Large Models in Sports,https://aclanthology.org/2026.findings-acl.1851/
ma-etal-2026-towards,2026,Towards Unified Multimodal Large Language Models: A survey,https://aclanthology.org/2026.findings-acl.1853/
jiang-etal-2026-towards,2026,Towards Efficient Large Language Model Serving: A Survey on System-Aware {KV} Cache Optimization,https://aclanthology.org/2026.findings-acl.1916/
luo-etal-2026-storage,2026,From Storage to Experience: A Survey on the Evolution of {LLM} Agent Memory Mechanisms,https://aclanthology.org/2026.findings-acl.2069/
orrego-carmona-etal-2026-reaching,2026,Reaching multilingual communities: a survey mapping {MT} use in the West Midlands ({UK}) third and public sector organisations,https://aclanthology.org/2026.eamt-1.38/
ilkilic-etal-2026-automatic,2026,Automatic translation in public services: A survey of the {F}innish public sector,https://aclanthology.org/2026.eamt-1.45/
ma-etal-2026-text,2026,Text-to-Text Automatic Story Generation: A Survey,https://aclanthology.org/2026.eacl-srw.39/
bucur-etal-2026-survey,2026,A Survey on Multilingual Mental Disorders Detection from Social Media Data,https://aclanthology.org/2026.eacl-long.39/
krasnodebska-etal-2026-safety,2026,"Safety of Large Language Models Beyond {E}nglish: A Systematic Literature Review of Risks, Biases, and Safeguards",https://aclanthology.org/2026.eacl-long.44/
yuan-etal-2026-barriers,2026,"Barriers to Discrete Reasoning with Transformers: A Survey Across Depth, Exactness, and Bandwidth",https://aclanthology.org/2026.eacl-long.87/
romberg-etal-2026-reassessing,2026,Reassessing Active Learning Adoption in Contemporary {NLP}: A Community Survey,https://aclanthology.org/2026.eacl-long.120/
costache-etal-2026-text,2026,Text Classification Under Class Distribution Shift: A Survey,https://aclanthology.org/2026.eacl-long.189/
ni-etal-2026-survey,2026,A Survey on {LLM}-based Conversational User Simulation,https://aclanthology.org/2026.eacl-long.200/
karamolegkou-etal-2026-nlp,2026,"{NLP} for Social Good: A Survey and Outlook of Challenges, Opportunities and Responsible Deployment",https://aclanthology.org/2026.eacl-long.238/
schoch-2026-derived,2026,Derived Text Formats as Strategic Transformations of In-Copyright Materials to Support Open Science: A Survey,https://aclanthology.org/2026.dtf-1.1/
yang-etal-2026-annotation,2026,"Annotation Tools for Language Documentation: A Survey of Capabilities, Gaps, and Morphological Support",https://aclanthology.org/2026.computel-1.9/
molino-pinar-etal-2026-automatic,2026,Automatic Generation of Discharge Summaries Using Large Language Models: A Systematic Literature Review,https://aclanthology.org/2026.clinicalnlp-1.9/
thompson-etal-2026-evaluating,2026,Evaluating Professional Acceptability of {LLM}-Generated Systematic Review Summaries in Healthcare: Psychiatrists' Perspectives,https://aclanthology.org/2026.cl4health-1.18/
