scheme,class,precision,recall,f1,support
3way,Apparent,0.9,0.36,0.5142857142857142,25
3way,Contradiction,1.0,0.8571428571428571,0.9230769230769231,42
3way,NotContradiction,0.46153846153846156,1.0,0.631578947368421,18
3way,MACRO_AVG,0.7871794871794872,0.7390476190476191,0.6896471949103528,85
5way,not_contradiction,0.46153846153846156,1.0,0.631578947368421,18
5way,type1_direct_negation,0.8888888888888888,0.8888888888888888,0.8888888888888888,36
5way,type2_quantitative_conflict,0.0,0.0,0.0,1
5way,type3_causal_conflict,0.0,0.0,0.0,5
5way,type4_apparent_contextual,0.9,0.36,0.5142857142857142,25
5way,MACRO_AVG,0.45008547008547006,0.4497777777777777,0.4069507101086048,85
