arxiv_id,title
1808.05377,Neural Architecture Search: A Survey
2011.00362,A Survey on Contrastive Self-supervised Learning
1806.00069,Explaining Explanations: An Overview of Interpretability of Machine Learning
1909.08383,A continual learning survey: Defying forgetting in classification tasks
2107.03342,A Survey of Uncertainty in Deep Neural Networks
2404.18231,From Persona to Personalization: A Survey on Role-Playing Language Agents
2503.12605,Multimodal Chain-of-Thought Reasoning: A Comprehensive Survey
2310.10647,A Survey on Video Diffusion Models
1810.02499,Dark Energy Survey Year 1 Results: Constraints on Extended Cosmological Models from Galaxy Clustering and Weak Lensing
2110.11334,Generalized Out-of-Distribution Detection: A Survey
1503.00759,A Review of Relational Machine Learning for Knowledge Graphs
2011.02260,Graph Neural Networks in Recommender Systems: A Survey
2410.08918,Wikimedia data for AI: a review of Wikimedia datasets for NLP tasks and AI-assisted editing
2307.12980,A Systematic Survey of Prompt Engineering on Vision-Language Foundation Models
1710.09282,A Survey of Model Compression and Acceleration for Deep Neural Networks
2211.14876,Dense Text Retrieval based on Pretrained Language Models: A Survey
2001.06937,"A Review on Generative Adversarial Networks: Algorithms, Theory, and Applications"
1801.00553,Threat of Adversarial Attacks on Deep Learning in Computer Vision: A Survey
1709.07604,"A Comprehensive Survey of Graph Embedding: Problems, Techniques and Applications"
2303.10158,Data-centric Artificial Intelligence: A Survey
1606.05908,Tutorial on Variational Autoencoders
2503.09648,A Survey on Trustworthy LLM Agents: Threats and Countermeasures
1908.09257,Normalizing Flows: An Introduction and Review of Current Methods
2407.19354,The Emerged Security and Privacy of LLM Agent: A Survey with Case Studies
1707.07435,Deep Learning based Recommender System: A Survey and New Perspectives
2302.01107,A Survey on Efficient Training of Transformers
2002.00444,Deep Reinforcement Learning for Autonomous Driving: A Survey
2308.12792,Sparks of Large Audio Models: A Survey and Outlook
1802.00614,Visual Interpretability for Deep Learning: a Survey
2402.17177,"Sora: A Review on Background, Technology, Limitations, and Opportunities of Large Vision Models"
2302.03495,Can ChatGPT Write a Good Boolean Query for Systematic Review Literature Search?
2012.15445,Explainability in Graph Neural Networks: A Taxonomic Survey
1808.01974,A Survey on Deep Transfer Learning
2011.06225,"A Review of Uncertainty Quantification in Deep Learning: Techniques, Applications and Challenges"
2504.15965,From Human Memory to AI Memory: A Survey on Memory Mechanisms in the Era of LLMs
2311.10372,"A Survey of Large Language Models for Code: Evolution, Benchmarking, and Future Trends"
2004.05937,Knowledge Distillation and Student-Teacher Learning for Visual Intelligence: A Review and New Outlooks
1607.05910,Visual Question Answering: A Survey of Methods and Datasets
1910.07738,A Survey of Deep Learning Techniques for Autonomous Driving
2406.02630,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways
2403.14735,Foundation Models for Time Series Analysis: A Tutorial and Survey
1902.06162,Self-supervised Visual Feature Learning with Deep Neural Networks: A Survey
2003.00911,A Survey on Knowledge Graph-Based Recommender Systems
1706.05098,An Overview of Multi-Task Learning in Deep Neural Networks
1908.00709,AutoML: A Survey of the State-of-the-Art
1506.00019,A Critical Review of Recurrent Neural Networks for Sequence Learning
2011.07876,A Survey on the Explainability of Supervised Machine Learning
2201.08164,From Anecdotal Evidence to Quantitative Evaluation Methods: A Systematic Review on Evaluating Explainable AI
2303.16129,Unleashing the Power of Edge-Cloud Generative AI in Mobile Networks: A Survey of AIGC Services
2007.02500,Deep Learning for Anomaly Detection: A Review
0711.0189,A Tutorial on Spectral Clustering
2006.11371,Opportunities and Challenges in Explainable Artificial Intelligence (XAI): A Survey
1703.09039,Efficient Processing of Deep Neural Networks: A Tutorial and Survey
2103.04922,"Deep Generative Modelling: A Comparative Review of VAEs, GANs, Normalizing Flows, Energy-Based and Autoregressive Models"
2111.06091,A Survey of Visual Transformers
2407.06886,Aligning Cyber Space with Physical World: A Comprehensive Survey on Embodied AI
1810.00069,Adversarial Attacks and Defences: A Survey
2007.07646,A Survey of Privacy Attacks in Machine Learning
