arxiv_id,title,published
2609.02309,"Efficient GUI Agents: A Systems Survey of Observation, Memory, Action, and Runtime Optimization",2026-09-02
2609.01659,Beyond Textual Chain-of-Thought: A Survey on Action-Grounded Reasoning in Autonomous Driving,2026-08-31
2608.29077,"A Comprehensive Survey on Linguistic Steganography: Methods, Countermeasures, Evaluation, and Challenges",2026-08-29
2608.27910,AI Alignment through a Game-theoretic Lens: A Survey,2026-08-28
2608.27505,A Survey on Rubric-Guided Reinforcement Learning for Language Models,2026-08-27
2608.24982,Unsupervised Post-Training of Foundation Models: A Survey,2026-08-25
2608.23627,"From Triage to Discharge: A Survey of NLP Tasks, Methods, and Open Challenges in the Emergency Department",2026-08-23
2608.14797,Beyond Tokens: A Survey on Decoding Methods for Large Language and Vision-Language Models,2026-08-14
2608.14377,A Survey of Large Models in Sports,2026-08-14
2608.14737,Class Imbalance and Batch Effects in LLM-Based Screening for Systematic Reviews,2026-08-13
2608.05993,Clinical Communication Processing with Models Trained on LLM-Generated Synthetic Data: A Structured Survey and Novel Application Case Studies,2026-08-06
2607.25672,"AI's Capability in Assisting Scientific Research in Physics, Astrophysics, and Cosmology I: Literature Review",2026-07-28
2607.25642,"Instruction-based Image Editing: A Survey on Data, Models, Evaluation, and Applications",2026-07-28
2608.28615,Distributional Validity and Calibration of a Korean Synthetic Persona Panel for Digital and AI Service Use: A Secondary-Data Validation Against the Korea Media Panel Survey,2026-07-23
2607.21655,Progress Reward Modeling for Robotic Learning: A Comprehensive Survey,2026-07-22
2608.14626,LLM Safety Alignment in Low-Resource Languages: A Systematic Literature Review,2026-07-20
2607.12829,Accelerating Masked Diffusion Large Language Models: A Survey of Efficient Inference Techniques,2026-07-14
2607.13104,Self-Improvements in Modern Agentic Systems: A Survey,2026-07-14
2607.10787,Detecting AI-Generated Video: A Vision-Language Dual-View Survey,2026-07-12
2607.08057,Towards Efficient Large Language Model Serving: A Survey on System-Aware KV Cache Optimization,2026-07-09
2607.07907,"Multimodal Unlearning Across Vision, Language, Video, and Audio: Survey of Methods, Datasets, and Benchmarks",2026-07-08
