arxiv_id,title,published
2609.03943,More Criticism Does Not Make a Better Review: EquiReview-R,2026-09-03
2609.03580,HalluPeer: A Taxonomy-driven Benchmark for Detecting Hallucinations in Scientific Peer Reviews,2026-09-03
2608.30924,TRIPPULSE: Multi-Agent Travel Planning with Review-Grounded Reasoning,2026-08-31
2608.29526,Ontology-Guided Multi-Agent Extraction of Evaluation Objects from Academic Review Texts: Evidence from Chinese Library and Information Science,2026-08-30
2608.27442,From Static to Dynamic: Benchmarking Real-World Code Review with MCR-Bench,2026-08-27
2608.25936,"One Symptom, Three Levers: A Critical Review of On-Policy Self-Distillation",2026-08-26
2608.25662,Overview of SHROOM-Visions 2026: A Shared Task on Hallucination Detection in Large Vision-Language Models,2026-08-26
2608.25325,FinRiskAtlas: Decision-Aligned Evaluation of Large Language Models for Financial Risk Review,2026-08-26
2608.23766,"What Reaches Expert Review? Representation, Structural Screening, and Candidate-Form Dependence in AI-Assisted Item Development",2026-08-24
2608.20204,ContractScrub: A benchmark for final review of legal contracts,2026-08-20
2608.09049,Security and Privacy Taxonomy Generation from Mobile App Reviews,2026-08-10
2608.08975,How Can Rhetoric Reward-Hack AI Reviewers? Dissecting Rhetorical Sensitivity in AI-Based Peer Review,2026-08-10
2608.06312,Benchmarking and Enhancing LLMs for Rule-Intensive Review of National Standard Documents,2026-08-06
2608.03659,How Closely Do LLM Reviews Align with Human Peer Review?,2026-08-04
2608.28626,"Do large language models scrutinise what they review? A multimodal audit of scoring calibration, error detection, and author-identity effects",2026-07-31
2607.19867,Overview of FinMMEval 2026 Task 2: Multilingual Financial Short-Answer Question Answering,2026-07-22
2607.19856,Overview of FinMMEval 2026 Task 1: Multilingual Financial Multiple-Choice Question Answering,2026-07-22
2607.27228,AI-assisted pre-review of open-source software submissions: an experience report from BOSC 2026,2026-07-14
2607.22681,From peer review nuances to best practices,2026-07-12
2607.10511,Articulate Intuition or Genuine Analysis? Benchmarking Epistemic Reliability in LLM-as-a-Judge Peer Reviews,2026-07-12
2606.31859,Review Residuals: Update-Conditioned Residual Gating for Transformers,2026-06-30
2606.31692,Overview of the TalentCLEF 2026: Skill and Job Title Intelligence for Human Capital Management,2026-06-30
2606.28277,Towards Automating Scientific Review with Google's Paper Assistant Tool,2026-06-26
2606.25935,Overview of HIPE-2026: Person-Place Relation Extraction from Multilingual Historical Texts,2026-06-24
2606.25057,"LLM-Based Scientific Peer Review: Methods, Benchmarks, and Reliability Challenges",2026-06-23
2606.24188,Aspect-Based Sentiment Evolution and its Correlation with Review Rounds in Multi-Round Peer Reviews: A Deep Learning Approach,2026-06-23
2608.26129,"FIRSTPASS: A Multi-Domain, Multi-Round Peer Review Dataset Grounded in Real Editorial Outcomes",2026-06-23
2607.02539,"Beyond Satisfaction: Learning Associations Between Content, Reviews, and Well-Being",2026-06-22
2606.23233,Judgment-Grounded Expansion for Peer Review Generation,2026-06-22
2606.22745,Language-Specific Sentiment Polarity Biases in Encoder and Large Language Model Classification of Product Reviews,2026-06-22
2607.26066,Do Methods Support the Claims? Intra-Paper Verification for Peer Review,2026-06-21
2606.21904,Which Review Aspect Has a Greater Impact on the Duration of Open Peer Review in Multiple Rounds? -- Evidence from Nature Communications,2026-06-20
